ID,CSE1,CSE2,CSE3,CSE4,SECTION,AVG_MARK,Grade,Highest_Mark_Subject,Lowest_Mark_Subject,Highest_Mark,Lowest_Mark,MAX_AVG_MARK_SECTION
47,31,61,71,41,B,51.0,C,CSE3,CSE1,71,31,89.75
48,65,82,83,83,D,78.25,B,CSE3,CSE1,83,65,89.75
49,74,29,29,48,B,45.0,D,CSE1,CSE2,74,29,89.75
50,45,47,61,85,D,59.5,C,CSE4,CSE1,85,45,89.75
51,90,56,49,30,A,56.25,C,CSE1,CSE4,90,30,91.75
52,69,39,52,26,C,46.5,D,CSE1,CSE4,69,26,91.25
53,49,27,56,92,D,56.0,C,CSE4,CSE2,92,27,89.75
54,36,40,35,40,B,37.75,D,CSE2,CSE3,40,35,89.75
55,44,82,62,59,A,61.75,C,CSE2,CSE1,82,44,91.75
56,71,90,53,55,C,67.25,C,CSE2,CSE3,90,53,91.25
57,88,72,80,47,A,71.75,B,CSE1,CSE4,88,47,91.75
58,77,72,73,67,D,72.25,B,CSE1,CSE4,77,67,89.75
59,41,93,58,51,A,60.75,C,CSE2,CSE1,93,41,91.75
60,78,47,47,56,A,57.0,C,CSE1,CSE2,78,47,91.75
61,85,44,64,89,B,70.5,B,CSE4,CSE2,89,44,89.75
62,75,53,62,31,A,55.25,C,CSE1,CSE4,75,31,91.75
63,92,27,55,86,A,65.0,C,CSE1,CSE2,92,27,91.75
64,52,80,40,55,A,56.75,C,CSE2,CSE3,80,40,91.75
65,33,68,39,40,C,45.0,D,CSE2,CSE1,68,33,91.25
66,42,84,79,37,C,60.5,C,CSE2,CSE4,84,37,91.25
67,78,77,45,37,C,59.25,C,CSE1,CSE4,78,37,91.25
68,70,65,38,54,B,56.75,C,CSE1,CSE3,70,38,89.75
69,43,77,76,84,A,70.0,B,CSE4,CSE1,84,43,91.75
70,45,78,41,93,C,64.25,C,CSE4,CSE3,93,41,91.25
71,81,29,40,94,C,61.0,C,CSE4,CSE2,94,29,91.25
72,88,39,41,34,A,50.5,C,CSE1,CSE4,88,34,91.75
73,62,53,34,58,B,51.75,C,CSE1,CSE3,62,34,89.75
74,87,26,73,60,A,61.5,C,CSE1,CSE2,87,26,91.75
75,40,52,72,67,A,57.75,C,CSE3,CSE1,72,40,91.75
76,55,66,32,48,A,50.25,C,CSE2,CSE3,66,32,91.75
77,34,68,87,46,C,58.75,C,CSE3,CSE1,87,34,91.25
78,34,71,61,85,C,62.75,C,CSE4,CSE1,85,34,91.25
79,55,72,33,73,C,58.25,C,CSE4,CSE3,73,33,91.25
80,44,85,43,43,D,53.75,C,CSE2,CSE3,85,43,89.75
81,61,60,26,69,D,54.0,C,CSE4,CSE3,69,26,89.75
82,33,87,67,82,C,67.25,C,CSE2,CSE1,87,33,91.25
83,33,26,29,51,D,34.75,D,CSE4,CSE2,51,26,89.75
84,78,27,50,30,B,46.25,D,CSE1,CSE2,78,27,89.75
85,67,40,38,37,A,45.5,D,CSE1,CSE4,67,37,91.75
86,66,58,66,56,C,61.5,C,CSE1,CSE4,66,56,91.25
87,61,59,41,35,C,49.0,D,CSE1,CSE4,61,35,91.25
88,58,69,60,28,D,53.75,C,CSE2,CSE4,69,28,89.75
89,64,71,70,93,B,74.5,B,CSE4,CSE1,93,64,89.75
90,62,60,93,81,D,74.0,B,CSE3,CSE2,93,60,89.75
91,29,67,70,49,D,53.75,C,CSE3,CSE1,70,29,89.75
92,63,25,30,57,D,43.75,D,CSE1,CSE2,63,25,89.75
93,64,56,92,26,D,59.5,C,CSE3,CSE4,92,26,89.75
94,82,28,76,93,B,69.75,Invalid,CSE4,CSE2,93,28,89.75
95,33,48,92,57,D,57.5,C,CSE3,CSE1,92,33,89.75
96,39,45,62,89,B,58.75,C,CSE4,CSE1,89,39,89.75
97,47,63,42,65,A,54.25,C,CSE4,CSE3,65,42,91.75
98,67,85,88,31,C,67.75,C,CSE3,CSE4,88,31,91.25
99,66,58,87,91,B,75.5,B,CSE4,CSE2,91,58,89.75
100,46,43,65,29,A,45.75,D,CSE3,CSE4,65,29,91.75
101,72,65,87,80,A,76.0,B,CSE3,CSE2,87,65,91.75
102,40,28,33,86,C,46.75,D,CSE4,CSE2,86,28,91.25
103,87,80,32,53,B,63.0,C,CSE1,CSE3,87,32,89.75
104,77,89,67,51,A,71.0,B,CSE2,CSE4,89,51,91.75
105,30,87,44,80,A,60.25,C,CSE2,CSE1,87,30,91.75
106,77,54,48,53,C,58.0,C,CSE1,CSE3,77,48,91.25
107,87,30,90,75,A,70.5,B,CSE3,CSE2,90,30,91.75
108,30,65,53,29,A,44.25,D,CSE2,CSE4,65,29,91.75
109,48,36,79,57,A,55.0,C,CSE3,CSE2,79,36,91.75
110,54,32,35,76,D,49.25,Invalid,CSE4,CSE2,76,32,89.75
111,27,41,89,50,C,51.75,C,CSE3,CSE1,89,27,91.25
112,72,49,36,80,C,59.25,C,CSE4,CSE3,80,36,91.25
113,43,34,36,80,C,48.25,D,CSE4,CSE2,80,34,91.25
114,73,37,70,27,D,51.75,C,CSE1,CSE4,73,27,89.75
115,31,80,80,30,A,55.25,C,CSE2,CSE4,80,30,91.75
116,61,29,91,65,B,61.5,C,CSE3,CSE2,91,29,89.75
117,47,54,58,39,C,49.5,Invalid,CSE3,CSE4,58,39,91.25
118,88,55,40,59,D,60.5,C,CSE1,CSE3,88,40,89.75
119,68,41,46,47,D,50.5,C,CSE1,CSE2,68,41,89.75
120,57,26,61,37,B,45.25,D,CSE3,CSE2,61,26,89.75
121,81,27,79,78,D,66.25,C,CSE1,CSE2,81,27,89.75
122,54,34,71,83,C,60.5,C,CSE4,CSE2,83,34,91.25
123,93,47,48,81,C,67.25,C,CSE1,CSE2,93,47,91.25
124,77,25,70,89,C,65.25,C,CSE4,CSE2,89,25,91.25
125,26,66,45,87,C,56.0,C,CSE4,CSE1,87,26,91.25
126,37,35,41,55,A,42.0,D,CSE4,CSE2,55,35,91.75
127,70,49,63,87,A,67.25,C,CSE4,CSE2,87,49,91.75
128,38,65,34,71,C,52.0,C,CSE4,CSE3,71,34,91.25
129,64,91,52,29,B,59.0,C,CSE2,CSE4,91,29,89.75
130,50,86,46,69,B,62.75,C,CSE2,CSE3,86,46,89.75
131,61,87,33,53,D,58.5,C,CSE2,CSE3,87,33,89.75
132,64,30,25,42,B,40.25,D,CSE1,CSE3,64,25,89.75
133,84,43,66,92,B,71.25,B,CSE4,CSE2,92,43,89.75
134,53,51,77,60,B,60.25,C,CSE3,CSE2,77,51,89.75
135,59,71,71,84,B,71.25,B,CSE4,CSE1,84,59,89.75
136,68,65,93,59,D,71.25,B,CSE3,CSE4,93,59,89.75
137,26,92,36,30,C,46.0,D,CSE2,CSE1,92,26,91.25
138,43,65,60,61,D,57.25,C,CSE2,CSE1,65,43,89.75
139,78,39,67,80,D,66.0,C,CSE4,CSE2,80,39,89.75
140,60,74,38,51,B,55.75,C,CSE2,CSE3,74,38,89.75
141,49,42,91,55,C,59.25,C,CSE3,CSE2,91,42,91.25
142,67,46,55,61,C,57.25,C,CSE1,CSE2,67,46,91.25
143,59,59,26,89,A,58.25,C,CSE4,CSE3,89,26,91.75
144,69,91,85,40,D,71.25,B,CSE2,CSE4,91,40,89.75
145,82,53,88,84,D,76.75,B,CSE3,CSE2,88,53,89.75
146,78,44,40,28,B,47.5,D,CSE1,CSE4,78,28,89.75
147,79,65,58,52,A,63.5,C,CSE1,CSE4,79,52,91.75
148,74,65,63,86,D,72.0,B,CSE4,CSE3,86,63,89.75
149,52,44,25,73,B,48.5,D,CSE4,CSE3,73,25,89.75
150,91,94,74,70,A,82.25,A-,CSE2,CSE4,94,70,91.75
151,42,90,69,50,B,62.75,C,CSE2,CSE1,90,42,89.75
152,90,92,31,35,C,62.0,C,CSE2,CSE3,92,31,91.25
153,65,41,65,54,B,56.25,C,CSE1,CSE2,65,41,89.75
154,84,34,77,40,B,58.75,C,CSE1,CSE2,84,34,89.75
155,36,82,45,40,B,50.75,C,CSE2,CSE1,82,36,89.75
156,66,51,59,29,C,51.25,C,CSE1,CSE4,66,29,91.25
157,44,28,78,40,B,47.5,D,CSE3,CSE2,78,28,89.75
158,48,54,48,62,D,53.0,C,CSE4,CSE1,62,48,89.75
159,46,48,31,89,A,53.5,C,CSE4,CSE3,89,31,91.75
160,28,26,46,89,D,47.25,D,CSE4,CSE2,89,26,89.75
161,60,36,87,60,B,60.75,C,CSE3,CSE2,87,36,89.75
162,37,27,77,31,A,43.0,D,CSE3,CSE2,77,27,91.75
163,62,84,47,56,D,62.25,C,CSE2,CSE3,84,47,89.75
164,81,37,29,42,A,47.25,D,CSE1,CSE3,81,29,91.75
165,75,71,59,77,D,70.5,B,CSE4,CSE3,77,59,89.75
166,40,52,65,88,B,61.25,C,CSE4,CSE1,88,40,89.75
167,33,57,37,75,A,50.5,C,CSE4,CSE1,75,33,91.75
168,51,77,37,44,D,52.25,C,CSE2,CSE3,77,37,89.75
169,32,56,34,53,A,43.75,D,CSE2,CSE1,56,32,91.75
170,81,52,82,73,B,72.0,B,CSE3,CSE2,82,52,89.75
171,33,72,92,62,B,64.75,C,CSE3,CSE1,92,33,89.75
172,77,36,91,34,B,59.5,C,CSE3,CSE4,91,34,89.75
173,27,35,30,86,C,44.5,D,CSE4,CSE1,86,27,91.25
174,86,84,80,47,D,74.25,B,CSE1,CSE4,86,47,89.75
175,34,53,77,86,C,62.5,C,CSE4,CSE1,86,34,91.25
176,40,33,71,55,C,49.75,Invalid,CSE3,CSE2,71,33,91.25
177,57,75,66,80,C,69.5,Invalid,CSE4,CSE1,80,57,91.25
178,49,53,42,67,B,52.75,C,CSE4,CSE3,67,42,89.75
179,41,45,70,80,B,59.0,C,CSE4,CSE1,80,41,89.75
180,32,73,31,62,D,49.5,Invalid,CSE2,CSE3,73,31,89.75
181,50,61,28,72,D,52.75,C,CSE4,CSE3,72,28,89.75
182,63,39,85,94,A,70.25,B,CSE4,CSE2,94,39,91.75
183,30,48,49,49,A,44.0,D,CSE3,CSE1,49,30,91.75
184,78,64,40,71,C,63.25,C,CSE1,CSE3,78,40,91.25
185,76,81,82,88,B,81.75,A-,CSE4,CSE1,88,76,89.75
186,28,89,76,36,C,57.25,C,CSE2,CSE1,89,28,91.25
187,50,91,31,30,B,50.5,C,CSE2,CSE4,91,30,89.75
188,67,62,26,40,D,48.75,D,CSE1,CSE3,67,26,89.75
189,39,30,37,79,A,46.25,D,CSE4,CSE2,79,30,91.75
190,58,45,63,46,A,53.0,C,CSE3,CSE2,63,45,91.75
191,71,66,52,28,B,54.25,C,CSE1,CSE4,71,28,89.75
192,77,68,35,29,C,52.25,C,CSE1,CSE4,77,29,91.25
193,89,67,39,54,C,62.25,C,CSE1,CSE3,89,39,91.25
194,37,55,77,69,B,59.5,C,CSE3,CSE1,77,37,89.75
195,52,32,63,34,B,45.25,D,CSE3,CSE2,63,32,89.75
196,50,69,72,65,A,64.0,C,CSE3,CSE1,72,50,91.75
197,71,28,45,90,C,58.5,C,CSE4,CSE2,90,28,91.25
198,71,67,85,40,B,65.75,C,CSE3,CSE4,85,40,89.75
199,26,68,67,37,C,49.5,Invalid,CSE2,CSE1,68,26,91.25
200,32,56,60,53,C,50.25,C,CSE3,CSE1,60,32,91.25
201,62,72,81,76,D,72.75,B,CSE3,CSE1,81,62,89.75
202,52,59,81,27,D,54.75,C,CSE3,CSE4,81,27,89.75
203,66,93,40,35,A,58.5,C,CSE2,CSE4,93,35,91.75
204,42,88,45,34,B,52.25,C,CSE2,CSE4,88,34,89.75
205,76,73,32,50,D,57.75,C,CSE1,CSE3,76,32,89.75
206,41,41,61,25,C,42.0,D,CSE3,CSE4,61,25,91.25
207,80,91,46,28,A,61.25,C,CSE2,CSE4,91,28,91.75
208,76,94,69,77,A,79.0,B,CSE2,CSE3,94,69,91.75
209,56,75,42,81,A,63.5,C,CSE4,CSE3,81,42,91.75
210,32,73,84,48,A,59.25,C,CSE3,CSE1,84,32,91.75
211,69,66,84,37,D,64.0,C,CSE3,CSE4,84,37,89.75
212,88,94,67,50,C,74.75,B,CSE2,CSE4,94,50,91.25
213,31,52,53,31,C,41.75,D,CSE3,CSE1,53,31,91.25
214,37,53,27,52,C,42.25,D,CSE2,CSE3,53,27,91.25
215,75,53,80,79,B,71.75,B,CSE3,CSE2,80,53,89.75
216,88,75,49,71,C,70.75,B,CSE1,CSE3,88,49,91.25
217,77,78,78,46,D,69.75,Invalid,CSE2,CSE4,78,46,89.75
218,30,47,82,57,A,54.0,C,CSE3,CSE1,82,30,91.75
219,38,34,85,47,B,51.0,C,CSE3,CSE2,85,34,89.75
220,46,68,59,28,B,50.25,C,CSE2,CSE4,68,28,89.75
221,84,89,66,72,A,77.75,B,CSE2,CSE3,89,66,91.75
222,52,65,41,25,A,45.75,D,CSE2,CSE4,65,25,91.75
223,71,40,37,38,C,46.5,D,CSE1,CSE3,71,37,91.25
224,67,77,53,34,D,57.75,C,CSE2,CSE4,77,34,89.75
225,31,32,75,25,B,40.75,D,CSE3,CSE4,75,25,89.75
226,30,31,66,35,B,40.5,D,CSE3,CSE1,66,30,89.75
227,84,84,75,64,A,76.75,B,CSE1,CSE4,84,64,91.75
228,68,66,26,76,C,59.0,C,CSE4,CSE3,76,26,91.25
229,40,84,48,73,A,61.25,C,CSE2,CSE1,84,40,91.75
230,85,47,40,88,D,65.0,C,CSE4,CSE3,88,40,89.75
231,33,70,57,91,C,62.75,C,CSE4,CSE1,91,33,91.25
232,35,92,52,46,B,56.25,C,CSE2,CSE1,92,35,89.75
233,66,53,47,82,A,62.0,C,CSE4,CSE3,82,47,91.75
234,40,59,68,83,D,62.5,C,CSE4,CSE1,83,40,89.75
235,41,80,53,26,D,50.0,C,CSE2,CSE4,80,26,89.75
236,27,87,54,90,B,64.5,C,CSE4,CSE1,90,27,89.75
237,58,92,53,86,D,72.25,B,CSE2,CSE3,92,53,89.75
238,25,87,34,63,C,52.25,C,CSE2,CSE1,87,25,91.25
239,59,71,39,40,D,52.25,C,CSE2,CSE3,71,39,89.75
240,58,76,60,33,B,56.75,C,CSE2,CSE4,76,33,89.75
241,55,45,49,79,B,57.0,C,CSE4,CSE2,79,45,89.75
242,50,67,93,44,B,63.5,C,CSE3,CSE4,93,44,89.75
243,47,86,67,60,D,65.0,C,CSE2,CSE1,86,47,89.75
244,38,27,48,37,B,37.5,D,CSE3,CSE2,48,27,89.75
245,77,77,61,84,D,74.75,B,CSE4,CSE3,84,61,89.75
246,57,53,60,45,D,53.75,C,CSE3,CSE4,60,45,89.75
247,72,50,77,34,C,58.25,C,CSE3,CSE4,77,34,91.25
248,79,65,49,42,C,58.75,C,CSE1,CSE4,79,42,91.25
249,87,26,93,73,B,69.75,Invalid,CSE3,CSE2,93,26,89.75
250,55,73,77,91,B,74.0,B,CSE4,CSE1,91,55,89.75
251,90,26,72,45,C,58.25,C,CSE1,CSE2,90,26,91.25
252,80,93,92,30,A,73.75,B,CSE2,CSE4,93,30,91.75
253,64,68,72,79,B,70.75,B,CSE4,CSE1,79,64,89.75
254,44,43,58,50,A,48.75,D,CSE3,CSE2,58,43,91.75
255,65,35,28,93,B,55.25,C,CSE4,CSE3,93,28,89.75
256,71,55,51,66,D,60.75,C,CSE1,CSE3,71,51,89.75
257,74,62,35,92,D,65.75,C,CSE4,CSE3,92,35,89.75
258,51,78,86,25,C,60.0,C,CSE3,CSE4,86,25,91.25
259,39,86,56,93,B,68.5,C,CSE4,CSE1,93,39,89.75
260,83,25,90,47,C,61.25,C,CSE3,CSE2,90,25,91.25
261,37,91,85,69,D,70.5,B,CSE2,CSE1,91,37,89.75
262,27,29,43,37,C,34.0,D,CSE3,CSE1,43,27,91.25
263,32,45,28,51,C,39.0,D,CSE4,CSE3,51,28,91.25
264,49,91,70,78,D,72.0,B,CSE2,CSE1,91,49,89.75
265,46,67,83,71,C,66.75,C,CSE3,CSE1,83,46,91.25
266,54,63,45,46,C,52.0,C,CSE2,CSE3,63,45,91.25
267,86,32,74,73,B,66.25,C,CSE1,CSE2,86,32,89.75
268,51,52,81,90,D,68.5,C,CSE4,CSE1,90,51,89.75
269,65,52,80,84,D,70.25,B,CSE4,CSE2,84,52,89.75
270,74,53,65,47,B,59.75,C,CSE1,CSE4,74,47,89.75
271,57,40,36,86,A,54.75,C,CSE4,CSE3,86,36,91.75
272,60,94,48,33,C,58.75,C,CSE2,CSE4,94,33,91.25
273,42,26,86,63,D,54.25,C,CSE3,CSE2,86,26,89.75
274,26,27,69,49,A,42.75,D,CSE3,CSE1,69,26,91.75
275,86,62,41,43,C,58.0,C,CSE1,CSE3,86,41,91.25
276,82,33,43,56,D,53.5,C,CSE1,CSE2,82,33,89.75
277,75,94,56,35,D,65.0,C,CSE2,CSE4,94,35,89.75
278,50,45,57,72,C,56.0,C,CSE4,CSE2,72,45,91.25
279,75,69,48,29,C,55.25,C,CSE1,CSE4,75,29,91.25
280,66,40,28,26,A,40.0,D,CSE1,CSE4,66,26,91.75
281,53,60,67,78,C,64.5,C,CSE4,CSE1,78,53,91.25
282,42,35,37,49,C,40.75,D,CSE4,CSE2,49,35,91.25
283,64,35,47,52,B,49.5,Invalid,CSE1,CSE2,64,35,89.75
284,37,73,80,60,C,62.5,C,CSE3,CSE1,80,37,91.25
285,70,92,27,94,C,70.75,B,CSE4,CSE3,94,27,91.25
286,25,48,25,28,B,31.5,D,CSE2,CSE1,48,25,89.75
287,50,71,83,87,B,72.75,B,CSE4,CSE1,87,50,89.75
288,27,74,73,62,D,59.0,C,CSE2,CSE1,74,27,89.75
289,54,43,82,28,D,51.75,C,CSE3,CSE4,82,28,89.75
290,47,72,84,83,D,71.5,B,CSE3,CSE1,84,47,89.75
291,36,34,89,44,B,50.75,C,CSE3,CSE2,89,34,89.75
292,38,94,44,43,B,54.75,C,CSE2,CSE1,94,38,89.75
293,80,34,90,88,C,73.0,B,CSE3,CSE2,90,34,91.25
294,45,54,37,72,C,52.0,C,CSE4,CSE3,72,37,91.25
295,92,37,45,62,D,59.0,C,CSE1,CSE2,92,37,89.75
296,38,84,93,63,A,69.5,Invalid,CSE3,CSE1,93,38,91.75
297,72,85,30,37,D,56.0,C,CSE2,CSE3,85,30,89.75
298,27,49,76,38,A,47.5,D,CSE3,CSE1,76,27,91.75
299,27,50,50,38,C,41.25,D,CSE2,CSE1,50,27,91.25
300,26,80,91,32,C,57.25,C,CSE3,CSE1,91,26,91.25
301,82,76,56,26,D,60.0,C,CSE1,CSE4,82,26,89.75
302,62,27,33,47,C,42.25,D,CSE1,CSE2,62,27,91.25
303,49,40,64,51,B,51.0,C,CSE3,CSE2,64,40,89.75
304,46,61,88,62,D,64.25,C,CSE3,CSE1,88,46,89.75
305,86,66,30,77,B,64.75,C,CSE1,CSE3,86,30,89.75
306,29,38,73,72,D,53.0,C,CSE3,CSE1,73,29,89.75
307,38,52,26,61,C,44.25,D,CSE4,CSE3,61,26,91.25
308,46,93,72,39,C,62.5,C,CSE2,CSE4,93,39,91.25
309,27,46,44,39,D,39.0,D,CSE2,CSE1,46,27,89.75
310,36,91,93,86,B,76.5,B,CSE3,CSE1,93,36,89.75
311,31,58,85,88,D,65.5,C,CSE4,CSE1,88,31,89.75
312,47,87,44,57,C,58.75,C,CSE2,CSE3,87,44,91.25
313,94,81,85,76,A,84.0,A-,CSE1,CSE4,94,76,91.75
314,57,85,61,85,A,72.0,B,CSE2,CSE1,85,57,91.75
315,59,76,47,59,B,60.25,C,CSE2,CSE3,76,47,89.75
316,66,46,36,41,C,47.25,D,CSE1,CSE3,66,36,91.25
317,68,78,73,25,C,61.0,C,CSE2,CSE4,78,25,91.25
318,76,42,71,75,B,66.0,C,CSE1,CSE2,76,42,89.75
319,32,65,89,29,A,53.75,C,CSE3,CSE4,89,29,91.75
320,75,52,93,36,C,64.0,C,CSE3,CSE4,93,36,91.25
321,49,79,31,74,A,58.25,C,CSE2,CSE3,79,31,91.75
322,89,83,78,84,C,83.5,A-,CSE1,CSE3,89,78,91.25
323,29,49,62,56,C,49.0,D,CSE3,CSE1,62,29,91.25
324,38,76,94,92,D,75.0,B,CSE3,CSE1,94,38,89.75
325,64,88,80,89,B,80.25,A-,CSE4,CSE1,89,64,89.75
326,67,64,47,93,C,67.75,C,CSE4,CSE3,93,47,91.25
327,71,25,31,72,D,49.75,Invalid,CSE4,CSE2,72,25,89.75
328,70,73,38,73,A,63.5,C,CSE2,CSE3,73,38,91.75
329,87,82,47,72,D,72.0,B,CSE1,CSE3,87,47,89.75
330,80,38,80,77,A,68.75,C,CSE1,CSE2,80,38,91.75
331,55,77,26,28,A,46.5,D,CSE2,CSE3,77,26,91.75
332,60,57,40,85,C,60.5,C,CSE4,CSE3,85,40,91.25
333,69,63,64,57,B,63.25,C,CSE1,CSE4,69,57,89.75
334,34,31,46,54,D,41.25,D,CSE4,CSE2,54,31,89.75
335,71,31,45,32,C,44.75,D,CSE1,CSE2,71,31,91.25
336,59,85,93,66,A,75.75,B,CSE3,CSE1,93,59,91.75
337,92,59,37,28,C,54.0,C,CSE1,CSE4,92,28,91.25
338,40,87,31,89,D,61.75,C,CSE4,CSE3,89,31,89.75
339,30,29,46,33,A,34.5,D,CSE3,CSE2,46,29,91.75
340,38,68,25,74,A,51.25,C,CSE4,CSE3,74,25,91.75
341,56,64,47,41,D,52.0,C,CSE2,CSE4,64,41,89.75
342,66,49,58,45,B,54.5,C,CSE1,CSE4,66,45,89.75
343,94,86,55,75,A,77.5,B,CSE1,CSE3,94,55,91.75
344,86,88,36,66,C,69.0,C,CSE2,CSE3,88,36,91.25
345,59,26,80,72,D,59.25,C,CSE3,CSE2,80,26,89.75
346,82,50,82,50,D,66.0,C,CSE1,CSE2,82,50,89.75
347,68,63,28,78,C,59.25,C,CSE4,CSE3,78,28,91.25
348,80,84,47,33,B,61.0,C,CSE2,CSE4,84,33,89.75
349,88,84,82,40,D,73.5,B,CSE1,CSE4,88,40,89.75
350,72,39,33,85,D,57.25,C,CSE4,CSE3,85,33,89.75
351,89,81,51,29,B,62.5,C,CSE1,CSE4,89,29,89.75
352,78,34,57,36,D,51.25,C,CSE1,CSE2,78,34,89.75
353,88,45,60,43,A,59.0,C,CSE1,CSE4,88,43,91.75
354,29,44,85,90,B,62.0,C,CSE4,CSE1,90,29,89.75
355,60,94,38,31,D,55.75,C,CSE2,CSE4,94,31,89.75
356,84,28,69,50,D,57.75,C,CSE1,CSE2,84,28,89.75
357,34,93,62,85,C,68.5,C,CSE2,CSE1,93,34,91.25
358,30,89,78,60,D,64.25,C,CSE2,CSE1,89,30,89.75
359,57,61,57,62,B,59.25,C,CSE4,CSE1,62,57,89.75
360,43,74,65,49,D,57.75,C,CSE2,CSE1,74,43,89.75
361,46,81,85,89,D,75.25,B,CSE4,CSE1,89,46,89.75
362,36,75,36,80,A,56.75,C,CSE4,CSE1,80,36,91.75
363,77,56,66,71,B,67.5,C,CSE1,CSE2,77,56,89.75
364,41,86,82,44,D,63.25,C,CSE2,CSE1,86,41,89.75
365,38,51,57,25,A,42.75,D,CSE3,CSE4,57,25,91.75
366,83,73,83,44,D,70.75,B,CSE1,CSE4,83,44,89.75
367,50,39,71,77,C,59.25,C,CSE4,CSE2,77,39,91.25
368,68,32,55,47,D,50.5,C,CSE1,CSE2,68,32,89.75
369,30,39,54,90,B,53.25,C,CSE4,CSE1,90,30,89.75
370,76,35,25,34,C,42.5,D,CSE1,CSE3,76,25,91.25
371,65,69,54,40,A,57.0,C,CSE2,CSE4,69,40,91.75
372,28,28,33,80,A,42.25,D,CSE4,CSE1,80,28,91.75
373,47,49,81,38,B,53.75,C,CSE3,CSE4,81,38,89.75
374,28,86,49,79,A,60.5,C,CSE2,CSE1,86,28,91.75
375,27,42,46,32,A,36.75,D,CSE3,CSE1,46,27,91.75
376,25,70,44,32,B,42.75,D,CSE2,CSE1,70,25,89.75
377,63,93,88,84,C,82.0,A-,CSE2,CSE1,93,63,91.25
378,42,91,32,65,D,57.5,C,CSE2,CSE3,91,32,89.75
379,41,48,57,34,B,45.0,D,CSE3,CSE4,57,34,89.75
380,28,49,27,35,A,34.75,D,CSE2,CSE3,49,27,91.75
381,88,34,42,43,C,51.75,C,CSE1,CSE2,88,34,91.25
